killsDiff,minionsKilledDiff,wardPlacedDiff,firstBlood,heralds,dragons,teamWins
3,-2,13,blue,none,none,red
0,-66,0,red,red,red,red
-4,-17,0,red,none,blue,red
-1,-34,28,red,blue,none,red
0,-15,58,red,none,red,red
2,4,-18,red,none,blue,blue
1,61,-39,blue,none,blue,blue
-8,52,1,red,none,red,red
0,-51,1,red,red,red,red
-1,-27,-3,blue,none,blue,blue
0,15,5,blue,none,red,red
0,-31,16,blue,blue,none,red
6,-2,6,blue,none,blue,blue
-5,-19,-6,red,blue,none,red
0,-18,-87,blue,none,none,blue
-4,-28,-1,red,none,none,red
8,53,1,blue,none,red,blue
-4,-15,26,red,blue,none,red
1,-15,2,blue,red,red,blue
-4,-31,-4,red,none,none,red
5,-11,2,blue,none,blue,blue
-9,-6,-2,red,none,red,red
-2,7,1,red,none,red,red
1,18,63,red,blue,blue,red
-3,11,15,red,none,none,blue
-4,-17,-2,red,none,red,red
2,-24,8,red,none,blue,blue
3,26,5,blue,none,red,red
2,-6,40,blue,none,blue,red
-5,8,0,red,none,blue,red
5,1,1,blue,none,blue,blue
3,12,2,blue,blue,blue,blue
2,-3,-7,red,none,red,red
1,-21,1,blue,none,red,red
2,-19,25,red,none,red,blue
-1,17,7,red,red,red,red
-6,-17,-2,red,none,blue,red
-1,-11,-20,blue,blue,red,red
-2,7,-7,red,blue,red,red
-3,-23,-18,red,blue,red,red
-7,9,-13,red,none,red,red
4,46,20,red,none,none,blue
3,10,1,red,none,blue,blue
0,12,-7,blue,none,none,blue
-1,9,-21,blue,blue,red,red
-9,-60,29,red,red,none,red
9,55,-1,blue,none,none,blue
4,18,6,blue,none,blue,blue
-1,-38,3,red,blue,none,blue
0,-35,-22,red,none,none,red
-2,3,-8,red,none,red,red
-2,31,6,red,none,none,blue
3,5,6,blue,blue,blue,blue
2,38,22,blue,none,red,blue
0,19,-6,red,none,blue,red
-6,23,-14,red,blue,red,red
-2,-37,3,blue,none,blue,red
4,-21,1,blue,none,blue,blue
2,-25,15,blue,blue,blue,blue
3,54,-8,red,none,red,red
-5,-27,0,red,none,red,red
-1,1,7,red,none,red,red
2,-3,-18,blue,red,blue,blue
8,-4,108,blue,blue,blue,blue
-6,-21,-4,red,none,blue,red
-6,-52,37,red,red,none,red
-1,-17,8,red,none,none,red
-1,12,8,blue,red,blue,red
-2,-1,3,red,none,red,blue
-1,-43,1,blue,none,red,red
1,3,3,blue,blue,red,red
1,14,24,blue,none,red,blue
6,24,5,blue,none,red,red
-5,12,1,blue,none,blue,red
2,37,0,blue,red,blue,blue
2,31,2,blue,blue,blue,blue
-2,-5,-1,red,red,red,red
4,32,4,blue,blue,none,blue
4,16,6,red,none,blue,blue
1,44,-35,red,red,red,red
7,46,27,blue,blue,red,red
0,-37,-1,red,red,blue,red
-1,21,-22,red,blue,red,red
1,28,2,red,none,blue,blue
0,-2,1,red,none,blue,blue
5,41,-11,red,blue,blue,blue
-5,23,-41,red,none,red,red
-3,-47,-3,red,none,blue,blue
6,-15,3,red,none,none,blue
-7,10,-7,red,red,blue,red
-4,-22,48,blue,none,red,red
-2,3,-16,blue,red,red,red
7,10,2,blue,none,red,blue
0,112,-5,blue,none,red,blue
0,-46,-2,red,none,blue,red
-5,-1,1,red,none,red,red
1,44,-1,blue,none,red,blue
-2,64,28,red,blue,red,blue
5,39,2,red,blue,blue,blue
-3,41,5,red,blue,none,red
-2,14,-4,blue,none,blue,red
-2,-22,-3,red,none,red,red
-1,-13,-4,red,red,red,red
5,27,3,red,blue,red,red
-3,7,11,red,red,red,red
2,41,-4,red,red,blue,red
-8,-27,1,red,none,red,blue
-2,17,3,red,none,red,red
4,13,-2,blue,red,red,blue
2,7,0,red,none,blue,blue
-5,20,2,blue,red,blue,blue
-5,-4,1,red,blue,blue,red
3,-38,6,red,none,none,blue
-8,-24,-14,blue,none,none,red
6,-8,16,blue,none,blue,blue
-2,-2,-18,blue,blue,blue,red
-3,-4,2,blue,none,none,blue
2,7,-88,blue,none,blue,blue
-4,-70,-2,red,none,red,red
0,-16,14,blue,blue,red,red
0,31,0,red,red,blue,red
-6,-42,-28,red,none,red,red
1,-17,-5,red,red,blue,blue
3,-24,-1,blue,none,red,blue
-7,-52,-1,red,none,red,red
2,-10,24,blue,none,blue,blue
-7,-36,27,red,none,blue,blue
2,10,-21,red,none,blue,blue
-1,1,23,red,red,none,red
2,18,-17,red,none,none,blue
6,9,-18,red,none,red,blue
3,12,-23,blue,none,blue,blue
0,-12,3,blue,none,red,blue
-3,21,20,blue,none,blue,blue
-2,-25,-49,red,none,red,red
-3,85,-4,red,none,blue,blue
2,-26,8,blue,red,blue,blue
8,36,0,blue,blue,red,blue
0,-3,-21,red,none,red,blue
-1,3,12,red,red,blue,red
-5,-2,-6,blue,none,none,red
-11,-18,77,red,none,none,red
1,61,-2,blue,red,red,blue
-2,-47,2,blue,none,none,red
5,-7,-14,red,red,red,blue
8,-10,4,blue,none,none,blue
-7,16,-21,red,blue,red,blue
-5,-50,-1,red,blue,blue,red
4,7,0,blue,none,none,blue
1,23,-1,blue,none,none,red
2,4,-25,blue,red,blue,red
0,35,4,red,none,none,red
2,-54,57,red,blue,blue,red
-1,8,-20,red,blue,red,red
-8,-3,-3,red,red,red,red
-4,52,-1,blue,none,red,red
8,14,-24,red,blue,blue,blue
5,3,74,red,none,none,blue
-7,-46,2,blue,red,red,red
0,-19,-3,red,none,red,blue
1,29,-23,blue,none,none,blue
4,-4,4,blue,red,blue,blue
5,1,0,blue,blue,blue,blue
-1,-1,-12,red,none,blue,blue
2,11,39,red,red,blue,red
0,18,3,blue,none,red,blue
-4,-41,19,red,none,red,red
0,-2,-23,blue,none,red,red
-1,13,4,blue,none,red,red
4,74,-38,blue,red,blue,blue
-2,-8,0,blue,red,red,red
1,-2,-6,red,blue,none,blue
0,-36,-6,blue,red,red,red
0,13,1,blue,red,blue,blue
-5,-14,2,red,none,blue,red
0,41,-39,red,none,red,blue
4,24,-27,blue,none,none,blue
-6,-20,1,red,red,none,red
1,28,-2,blue,none,blue,blue
-4,-8,2,red,blue,red,blue
-1,-11,-3,red,blue,red,red
-2,-32,50,blue,none,red,red
6,21,2,blue,none,blue,blue
8,-1,-68,red,none,red,blue
-1,-63,-24,blue,none,none,red
